first_name,last_name,state,salary,tenure,credit_score,age,loan_amount,interest_rate,checking_savings,existing_debt,DTI,Approvals
Caitrin,Kolak,TN,28616.59,18,757,37,107467.33,2.8,-336.71,26057.81,0.91,Denied
Derron,Vanelli,NY,33230.9,8,554,43,162680.37,2.9,7963.64,16168.49,0.49,Denied
Gabriellia,Sheeres,PA,27455.8,5,422,58,407784.51,4.0,6230.94,67292.5,2.45,Denied
Ninnetta,Malim,TN,57396.55,1,401,51,384866.28,2.7,9566.27,31890.99,0.56,Denied
Clarke,Webber,CT,37743.61,16,366,31,176910.42,3.1,2111.76,38345.47,1.02,Denied
Evaleen,Trahear,VA,57931.55,7,519,20,39151.7,3.5,2610.27,8742.8,0.15,Approved
Carr,Berthomier,CA,36506.58,19,705,19,211217.14,3.6,9648.68,40276.69,1.1,Denied
Lori,Douch,TX,56993.46,22,835,41,258845.01,3.8,7184.75,11978.22,0.21,Approved
Druci,Feares,FL,32326.7,7,753,48,51195.94,2.7,337.59,20674.49,0.64,Denied
Winna,Risborough,OH,38475.61,19,384,61,261817.86,3.9,5169.7,31007.48,0.81,Denied
Barnabe,Reder,KY,44310.68,20,849,75,271735.35,2.6,8799.13,48453.15,1.09,Denied
Lorrie,Oliveti,CA,51298.03,8,682,28,458733.55,2.9,7704.51,60182.91,1.17,Denied
Yorgo,McHaffy,TX,50603.72,4,595,53,305323.8,3.1,5345.95,56700.49,1.12,Denied
Morgun,Allso,MT,59786.29,30,845,73,144077.05,2.8,5319.63,53509.31,0.9,Denied
Sadella,Higgonet,OH,47051.51,2,823,59,234002.69,3.5,5983.51,34273.85,0.73,Denied
Neddy,Whittet,CO,51186.52,13,839,62,104991.75,3.6,8215.87,22195.51,0.43,Denied
Shelley,McGinnis,CA,38700.08,23,488,24,281436.65,3.2,8890.12,18364.4,0.47,Denied
Clevey,Greenhaugh,NY,52075.1,11,688,30,159870.43,3.7,9269.0,1564.6,0.03,Approved
Benny,Leask,CO,29592.29,12,471,48,4388.28,3.8,1071.79,13146.36,0.44,Denied
Milton,Moro,CA,47957.82,13,423,48,490644.92,3.0,8143.67,52837.21,1.1,Denied
Gladi,Sparhawk,TX,58437.72,10,639,36,121072.25,2.9,4229.89,48662.04,0.83,Denied
Dido,Habberjam,NV,31836.24,3,521,64,95229.03,3.9,8882.66,25784.14,0.81,Denied
Austin,Gemlett,IL,31061.32,2,808,32,34053.94,2.7,2513.13,12549.54,0.4,Denied
Carine,Coole,LA,39164.11,7,424,63,445512.48,2.9,900.17,46104.8,1.18,Denied
Sheff,Stiling,ID,35069.91,20,488,63,27418.23,2.9,7144.79,37633.11,1.07,Denied
Rebekah,Garcia,VA,41035.97,24,587,77,363095.57,3.4,8084.32,38633.68,0.94,Denied
Bertine,O'Geneay,IA,58049.76,18,842,50,94492.93,3.4,4307.05,57165.65,0.98,Denied
Vincenty,Askham,NE,30120.68,23,628,82,494300.54,3.2,4530.84,5190.45,0.17,Approved
Melisse,Lozano,CA,48118.34,30,804,66,446778.69,4.0,8692.67,20697.88,0.43,Denied
Astrix,Havoc,FL,44251.27,15,791,24,316625.64,3.2,5400.09,34778.39,0.79,Denied
Darcy,Corneljes,FL,49588.71,5,598,29,22002.09,3.7,6707.4,3224.14,0.07,Approved
Deane,Hulls,CT,34845.34,25,768,79,99271.59,2.8,8728.73,35399.85,1.02,Denied
Brinn,Donohue,CA,59468.31,14,532,21,259147.3,3.2,-744.13,74376.13,1.25,Denied
Rhiamon,Milligan,TX,44090.31,13,788,77,415161.52,3.0,6681.12,16857.07,0.38,Denied
Claus,Laurenz,NV,57129.22,19,491,21,295296.5,3.1,-427.1,18179.45,0.32,Approved
Jere,Brabban,WV,51145.42,17,563,24,113292.45,2.6,2523.62,34435.27,0.67,Denied
Camile,Dallaway,CO,59097.5,19,470,46,471462.07,4.0,5999.15,47073.16,0.8,Denied
Lowe,Kordes,TX,53651.99,15,438,81,184133.48,3.0,5220.24,15791.46,0.29,Approved
Smith,Cano,CA,42207.54,5,358,67,485525.45,2.8,6361.58,32135.67,0.76,Denied
Cristen,Redparth,CA,49683.59,15,805,74,37707.49,3.8,-933.36,5780.01,0.12,Approved
Kristofor,Gotecliffe,AZ,40057.87,3,819,47,197776.32,2.6,6732.61,53117.99,1.33,Denied
Dorine,O'Curneen,OH,27510.56,11,540,36,367775.91,2.6,5008.46,49551.38,1.8,Denied
Eward,Rogers,TN,43730.56,23,843,30,464506.17,2.5,210.55,14287.62,0.33,Approved
Dona,Dillestone,AL,47052.44,11,793,81,112960.62,2.9,6681.63,43177.16,0.92,Denied
Derk,Dockery,CA,44409.2,26,696,84,162218.9,3.6,-666.46,21312.08,0.48,Denied
Brennen,Brehaut,CA,44150.24,20,835,32,186079.15,2.7,6148.76,8317.5,0.19,Approved
Hercules,Lineker,TN,49864.63,23,618,33,18373.22,2.5,8793.95,51390.79,1.03,Denied
Orren,Collinge,FL,56217.41,20,357,67,203855.07,3.0,4510.39,57788.03,1.03,Denied
Wallie,Hamlyn,FL,41907.22,21,696,55,409588.88,2.7,-852.27,53775.92,1.28,Denied
Danni,Bracknell,TX,34321.58,14,400,62,168972.66,2.6,7495.47,35291.38,1.03,Denied
Averil,Olive,NC,53795.74,18,485,58,201936.21,3.1,-77.11,13406.37,0.25,Approved
Hildegaard,O'Shesnan,NV,54619.91,10,632,35,39298.04,2.8,1570.66,13664.35,0.25,Approved
Flss,Postans,CA,48126.12,14,689,19,77497.08,3.6,4893.86,41653.53,0.87,Denied
Ewen,Oliva,DC,58897.96,2,542,42,421934.67,4.0,4920.06,35532.19,0.6,Denied
Dwight,Gerrelt,LA,30242.79,17,771,58,390844.28,3.7,-564.97,15426.85,0.51,Denied
Tatiania,Tilbrook,PA,47859.03,6,467,29,403857.59,3.4,6399.62,62535.71,1.31,Denied
Carrissa,Hortop,IN,35546.56,3,393,21,327491.61,3.9,8790.5,55553.06,1.56,Denied
Bryn,Rings,NY,43800.45,3,388,58,346254.27,3.4,8783.88,51502.03,1.18,Denied
Gwenora,de Vaen,MD,55621.26,23,489,73,40578.46,3.7,6224.07,65170.19,1.17,Denied
George,Weich,MA,34572.83,25,375,32,317466.82,2.7,1802.55,1495.65,0.04,Approved
Cyb,Denzilow,TX,59920.87,16,435,69,380679.48,3.3,4940.33,28599.74,0.48,Denied
Arleen,Futty,TX,36596.72,9,393,55,395072.92,3.1,3544.3,22219.17,0.61,Denied
Windham,Cafe,VA,39897.85,10,540,74,490285.94,3.7,5990.42,9217.23,0.23,Approved
Lois,Ranald,CO,35005.13,11,623,81,327735.84,4.0,1741.39,73372.23,2.1,Denied
Evered,Stritton,MA,37523.68,5,462,78,84036.62,3.6,2868.3,68401.21,1.82,Denied
Judith,Robertsen,NC,29975.1,12,818,32,363034.99,3.5,1257.75,33835.28,1.13,Denied
Markus,Stanlock,OK,30182.91,24,457,23,111332.53,3.2,7658.11,8540.21,0.28,Approved
Lizzy,Turbefield,AR,49409.75,23,457,49,357130.9,3.5,8508.2,69696.68,1.41,Denied
Aggy,Cherrison,FL,31587.96,13,480,54,470311.98,2.6,4096.39,57729.87,1.83,Denied
Normie,Blackah,TX,27244.0,23,435,71,94471.46,2.6,-768.17,29211.76,1.07,Denied
Corri,Gard,VA,59850.47,5,847,77,465831.05,3.9,1871.68,30520.29,0.51,Denied
Christoph,MacAnellye,TX,35380.86,12,694,19,341744.41,3.3,8168.6,53451.83,1.51,Denied
Cully,Stoite,HI,57743.6,18,476,56,80478.03,2.7,664.78,18225.36,0.32,Approved
Micheil,Paybody,AR,56094.49,21,594,52,24043.74,3.5,262.5,74788.41,1.33,Denied
Ode,Schrei,FL,51566.72,1,612,46,224548.9,3.4,1091.39,33791.42,0.66,Denied
Datha,Yewdall,DC,36477.97,26,572,56,355213.7,2.6,7030.69,30053.39,0.82,Denied
Arlan,Quittonden,MS,57003.63,29,579,51,283949.11,3.2,1193.24,18308.8,0.32,Approved
Bearnard,Schultes,NC,38249.63,16,808,41,213851.96,2.6,1848.83,64640.96,1.69,Denied
Jacinta,Sickamore,PA,45206.85,24,699,34,431946.05,2.7,-75.56,17506.33,0.39,Denied
Maisie,Wagstaff,ND,56069.35,6,800,65,22177.43,2.7,1812.97,40797.07,0.73,Denied
Catharine,Nolte,FL,38439.81,12,661,71,397818.84,3.0,7473.76,73436.91,1.91,Denied
Clair,Pryn,IL,42988.79,24,387,49,495060.33,3.3,3136.5,248.56,0.01,Approved
Daryl,Beazleigh,IN,47321.85,13,503,82,54305.49,2.8,5835.15,36551.25,0.77,Denied
Padgett,Le Prevost,NJ,35204.27,20,774,59,205524.82,3.1,3778.3,64723.23,1.84,Denied
Riannon,Hindsberg,TX,50094.41,27,456,26,199072.49,3.9,4326.2,8253.61,0.16,Approved
Albertine,Arling,TX,30078.2,19,429,72,266259.53,3.1,4757.65,32861.57,1.09,Denied
Raf,Chesney,FL,34983.6,12,828,35,332738.82,3.7,2522.94,22460.24,0.64,Denied
Kelci,Pessolt,FL,39487.54,3,451,72,425384.01,3.7,2897.24,70183.11,1.78,Denied
Rolando,Juan,MO,32837.9,9,778,43,18528.52,3.4,6236.64,1736.48,0.05,Approved
Kaia,Pavelka,MN,50220.69,12,720,58,326629.45,2.7,8315.96,36266.04,0.72,Denied
Waylan,Paulmann,NY,56447.74,9,474,23,9120.56,2.8,8124.9,44029.7,0.78,Denied
Genna,Flarity,CA,29496.06,7,380,24,430699.45,3.5,9551.77,53666.73,1.82,Denied
Sigmund,Eakly,NC,34771.34,27,791,50,396701.14,4.0,6472.23,27896.34,0.8,Denied
Lynette,Golborne,VA,51415.13,27,733,69,331139.86,2.8,9121.47,9967.41,0.19,Approved
Teddie,O'Lenane,TX,47392.28,23,413,79,371796.87,3.1,3713.48,28297.74,0.6,Denied
Montgomery,Wiersma,CT,40774.58,30,684,37,377748.34,3.6,8091.12,45571.83,1.12,Denied
Sandy,Brashier,SC,38195.07,1,662,40,324227.89,3.4,8140.2,19747.1,0.52,Denied
Cathi,Snape,FL,30601.46,9,465,47,402534.02,3.5,7215.63,50859.07,1.66,Denied
Consalve,Kinnach,FL,52988.13,7,680,38,457041.95,3.2,-809.34,27132.95,0.51,Denied
Anthony,Gallahar,TX,39696.51,11,807,20,226955.8,3.1,9099.35,52455.11,1.32,Denied
Shelly,McGee,VA,46598.23,1,381,47,98959.25,3.4,383.18,37237.91,0.8,Denied
Galven,Loveguard,IN,39518.42,23,462,51,13370.88,2.8,3200.86,60989.98,1.54,Denied
Wenona,Richemont,CA,31270.33,30,415,62,167668.1,2.7,540.14,19962.15,0.64,Denied
York,Surplice,TX,34828.83,24,738,81,110562.54,3.1,2027.82,17765.21,0.51,Denied
Lauretta,Guitt,AL,39499.37,27,745,40,388079.62,3.3,5116.24,21487.01,0.54,Denied
Terri,Morhall,OH,30843.5,3,719,69,38476.98,3.0,6385.87,61327.67,1.99,Denied
Gard,Klessmann,AL,41512.36,25,362,63,254044.91,2.7,986.76,532.96,0.01,Approved
Fulton,Burkman,IN,33039.57,10,798,32,428652.09,2.5,9156.05,16721.32,0.51,Denied
Halsy,Ellwell,TX,57763.2,27,486,83,317789.49,4.0,8189.54,39305.26,0.68,Denied
Henrietta,Kolak,OK,47367.69,5,768,71,289681.15,3.3,855.66,54839.83,1.16,Denied
Fey,Kelshaw,TN,33728.04,13,384,69,350356.62,4.0,1104.95,26382.46,0.78,Denied
Ivar,Weatherdon,AZ,29516.63,4,752,34,315209.69,3.5,2368.1,70214.21,2.38,Denied
Milena,Kippie,CO,50901.05,28,805,49,25165.28,3.3,1108.68,1779.69,0.03,Approved
Mela,Sturch,MO,33802.54,22,774,38,285936.79,3.0,8964.36,32364.19,0.96,Denied
Grove,Carreyette,GA,37292.21,6,548,76,457468.13,3.7,1335.16,24073.94,0.65,Denied
Sapphira,Kember,FL,37493.2,4,585,42,474747.39,2.8,937.48,46864.65,1.25,Denied
Ashil,Dunkirk,CA,44723.97,3,501,23,198826.66,3.9,2859.14,46190.63,1.03,Denied
Tadio,Misson,DC,31374.44,23,724,73,365438.24,2.7,4530.69,5444.7,0.17,Approved
Elissa,Yateman,MD,35477.38,16,606,62,76748.73,3.1,6980.94,15796.97,0.45,Denied
Vic,Kislingbury,CA,27398.22,3,495,57,369954.17,3.5,3916.89,56845.69,2.07,Denied
Alfons,Hedaux,CA,38772.95,5,354,57,447276.31,3.1,8830.15,73670.95,1.9,Denied
Allix,Pepperrall,UT,54051.98,20,416,74,160374.66,3.4,4862.1,58566.12,1.08,Denied
Christine,Churches,NY,30487.3,27,747,43,386756.79,3.4,6822.03,59891.45,1.96,Denied
Hew,Jahn,FL,41302.6,26,538,61,452190.19,3.5,6215.13,55935.1,1.35,Denied
Yale,Embury,DC,56511.03,17,730,85,441982.11,2.9,3407.67,7861.78,0.14,Approved
Mohammed,Palfery,MO,55493.95,24,640,85,164078.59,2.8,5465.5,6866.97,0.12,Approved
Pat,Patnelli,OR,50732.16,26,791,37,146269.81,3.5,8638.96,4395.92,0.09,Approved
Nelson,Kleiser,CA,39906.73,1,424,67,4982.42,3.0,1751.72,33529.22,0.84,Denied
Daile,Leile,NY,56832.67,19,692,19,81749.55,3.2,4316.42,1723.03,0.03,Approved
Hillel,Goldsberry,TX,51091.56,16,468,69,233339.91,2.8,4284.86,72647.64,1.42,Denied
Carmen,Cobleigh,TX,27860.58,3,369,34,463931.7,2.6,4242.37,12575.48,0.45,Denied
Cinnamon,Barneveld,TX,38342.1,14,699,41,470363.78,3.0,4830.98,8420.09,0.22,Approved
Jasper,Merredy,OH,29543.11,5,737,21,350227.04,2.8,2211.2,68792.25,2.33,Denied
Aurilia,Van Driel,NC,31284.67,2,422,34,122047.74,2.7,6899.1,69865.79,2.23,Denied
Mitch,Chinnery,MI,33361.68,2,780,69,416029.74,3.5,5416.67,60761.87,1.82,Denied
Shurlock,Zapatero,OK,30546.14,16,692,68,457622.63,3.7,5641.45,59838.63,1.96,Denied
Merna,Guislin,WI,58249.98,11,590,49,213449.47,4.0,7863.5,55733.76,0.96,Denied
Dougy,Courtese,NY,46057.28,5,803,36,347574.51,3.3,969.41,50746.09,1.1,Denied
Parrnell,Trevorrow,FL,34985.07,7,828,55,497590.56,3.6,9175.11,47851.53,1.37,Denied
Sarge,Symondson,NY,45741.0,10,756,62,444752.62,2.6,7989.11,46859.63,1.02,Denied
Lisette,Pymer,CA,57561.96,22,483,46,408194.1,3.1,6832.61,69458.83,1.21,Denied
Lira,Persey,CA,32871.63,29,359,82,329861.34,3.5,5216.54,31738.1,0.97,Denied
Holly,Cutress,GA,55572.85,11,466,76,209975.63,3.5,5628.85,38290.65,0.69,Denied
Averell,Hyam,AZ,40173.57,1,547,61,203719.49,2.8,5927.32,70390.64,1.75,Denied
Tailor,Prestwich,TX,38769.52,5,535,57,258224.38,4.0,4263.48,6014.77,0.16,Approved
Salim,Pozer,IL,55037.19,23,395,47,488738.77,2.5,2122.17,25413.74,0.46,Denied
Suellen,Volk,UT,43262.05,19,472,49,394047.64,2.9,5603.31,68407.34,1.58,Denied
Claudie,Iglesiaz,CA,35852.97,8,596,40,197476.17,3.9,-196.79,49308.49,1.38,Denied
Robbie,Petrulis,NC,47261.88,23,639,80,344038.65,3.3,4194.03,66424.59,1.41,Denied
Wenona,Bonnar,FL,38495.45,4,557,47,175340.73,2.7,608.81,54237.19,1.41,Denied
Cathy,Lacroutz,WV,39825.33,24,565,81,207277.12,3.8,8047.23,23231.83,0.58,Denied
Corbett,Monkton,CO,46036.0,16,631,22,431516.83,3.5,5134.13,12392.86,0.27,Approved
Bartolemo,Dupree,NC,41721.23,1,387,59,116203.65,2.6,9830.3,40444.28,0.97,Denied
Rossie,Yanshin,CO,53872.61,20,843,36,359924.19,3.3,9019.73,70750.69,1.31,Denied
Hodge,Chilcotte,NE,32306.82,12,550,74,263428.38,3.6,3868.18,60707.17,1.88,Denied
Wain,Chittenden,CA,44427.8,27,716,71,334556.25,2.8,1308.27,68924.23,1.55,Denied
Rodrigo,Addionizio,OH,34839.3,10,761,35,250210.87,3.4,2271.53,44577.0,1.28,Denied
Torr,Wasmer,PA,42062.94,11,425,29,14943.13,2.6,1433.81,31430.38,0.75,Denied
Rutledge,Mattedi,TX,43939.39,13,494,50,287066.51,3.0,172.22,62129.81,1.41,Denied
Verney,Pughsley,TX,50397.34,14,681,76,362700.89,3.1,2478.54,20250.72,0.4,Denied
Lind,Paradyce,AZ,27136.27,15,618,36,131810.7,3.1,479.44,35265.0,1.3,Denied
Retha,Dach,AZ,31883.78,27,459,32,212644.87,3.7,6355.37,22439.74,0.7,Denied
Sean,Bewicke,OH,47108.46,4,769,26,161627.77,2.9,2131.6,31177.61,0.66,Denied
Chane,Huortic,AL,29665.51,14,781,71,40834.04,3.2,7301.61,18359.04,0.62,Denied
Sherwin,Whieldon,FL,55527.48,3,445,18,371066.34,2.8,2755.33,11677.63,0.21,Approved
Kelwin,Crudginton,FL,27845.1,21,422,63,348001.6,2.6,1645.53,14315.12,0.51,Denied
Tamar,Verna,NC,29984.2,9,615,71,148588.65,3.7,6116.06,42747.16,1.43,Denied
Gregory,Cantua,CT,46231.82,8,748,82,16765.6,3.9,3105.2,39248.32,0.85,Denied
Franciskus,Crosseland,TX,35759.08,5,594,59,8443.64,3.2,4618.06,48359.67,1.35,Denied
Gerome,Kopisch,CA,35072.48,1,475,70,387459.66,3.6,-729.49,20408.1,0.58,Denied
Robenia,Battershall,CA,37487.89,19,464,74,467878.74,3.3,677.9,61563.0,1.64,Denied
Carlina,Riach,FL,33410.85,19,459,42,194775.97,2.8,674.88,41614.72,1.25,Denied
Cyndi,Sleicht,FL,52126.21,6,352,67,91107.79,3.0,5991.72,27533.37,0.53,Denied
Tabor,Minto,FL,40049.06,28,593,67,10521.86,3.1,8722.49,11366.65,0.28,Approved
Therine,Oliphant,IL,36018.26,21,533,45,247942.6,3.0,1127.9,17722.18,0.49,Denied
Myrna,Hawker,WA,49204.39,4,836,20,488511.53,3.9,9153.34,4245.78,0.09,Approved
Minta,Matuszkiewicz,OR,46410.57,28,639,50,470689.54,3.1,5395.3,71802.7,1.55,Denied
Antons,Warland,KS,59928.4,25,454,32,347909.52,2.9,3890.96,8479.74,0.14,Approved
Heinrick,Bloom,OH,41403.67,9,724,36,337675.03,2.5,113.32,56260.77,1.36,Denied
Linzy,Ormes,DC,35606.43,8,532,74,92261.03,3.7,-920.93,28516.46,0.8,Denied
Windy,Pyer,FL,48209.74,3,415,83,18627.67,2.7,1185.64,38836.64,0.81,Denied
Eugine,Titchard,AZ,51275.8,8,736,76,139509.99,3.6,6122.14,34597.42,0.67,Denied
Winne,Finley,KS,48773.28,15,738,64,402416.76,3.5,8999.21,67986.55,1.39,Denied
Heida,Frake,IL,35596.84,25,802,64,101547.0,3.7,5693.63,69923.07,1.96,Denied
Roselle,Coraini,OH,32803.64,19,397,45,229002.53,3.6,3732.19,52690.43,1.61,Denied
Camel,Nangle,NY,40087.4,6,422,45,105706.94,3.8,2427.55,37900.89,0.95,Denied
Harlene,Scandrite,NY,46142.14,20,553,22,325851.4,2.8,-43.07,37149.76,0.81,Denied
Luciano,Waldren,NY,34351.11,12,549,82,185331.45,3.4,7566.82,61604.74,1.79,Denied
Cornie,Sowten,NY,35038.17,20,735,70,154699.22,3.4,6587.07,51491.28,1.47,Denied
Lorant,Shambroke,VA,50848.87,16,728,25,491309.79,3.8,8699.96,70420.94,1.38,Denied
Anna,Cinavas,NY,52368.03,7,398,44,418882.6,2.6,1295.19,30787.9,0.59,Denied
Gladi,Seefeldt,VA,49998.04,23,639,27,281.75,3.1,1524.53,32481.15,0.65,Denied
Thorvald,Fruish,MO,58249.31,3,397,32,437560.25,3.4,7033.57,11058.65,0.19,Approved
Fionna,Kalf,CA,37050.84,27,844,31,243368.21,3.6,3861.04,60957.62,1.65,Denied
Annelise,De Luna,LA,38272.66,21,719,78,143572.94,3.5,7881.96,50426.15,1.32,Denied
Rosamond,Comini,VA,30413.72,3,566,64,59934.43,2.9,3359.61,235.29,0.01,Approved
Cristin,Symon,CA,53879.52,10,495,38,444027.4,3.7,7722.27,46040.66,0.85,Denied
Burnaby,McGarrahan,FL,31526.64,27,743,26,85623.61,3.8,693.4,9634.67,0.31,Approved
Fernande,Trett,OK,48295.75,21,805,28,230638.11,3.7,4323.59,16126.35,0.33,Approved
Ken,Gardiner,TN,31810.28,24,495,40,450389.62,3.1,3165.96,10555.3,0.33,Approved
Peyton,Hubach,TX,33247.35,21,743,65,306129.68,3.9,2190.99,387.64,0.01,Approved
Dickie,Liggett,MD,37726.79,18,530,77,20301.3,2.7,3784.29,56258.86,1.49,Denied
Alice,Vivash,KY,46255.83,29,402,70,446074.74,2.8,-356.14,58937.87,1.27,Denied
Dorolice,Straw,OH,32597.27,17,511,36,420725.02,3.5,512.87,64761.47,1.99,Denied
Goober,Lovering,DC,36624.18,18,422,49,286003.94,2.7,9008.43,20022.99,0.55,Denied
Elliott,Learmonth,MD,46036.86,9,773,25,294735.44,3.0,8003.94,5079.4,0.11,Approved
Zollie,Dymocke,DC,33769.41,21,668,54,74266.36,3.1,4893.53,67949.47,2.01,Denied
Eartha,Parrington,OR,45663.1,2,693,19,488700.31,3.9,6147.06,13651.5,0.3,Approved
Julita,Duckhouse,GA,49112.63,25,629,40,288635.07,3.0,5257.34,29802.65,0.61,Denied
Woodrow,Wooller,CA,57887.76,17,583,36,275203.01,2.8,7281.3,25078.3,0.43,Denied
Dayna,Pogg,AZ,36347.18,11,465,48,350953.89,2.9,-868.89,47572.32,1.31,Denied
Kaine,Aronson,CA,33978.16,5,416,29,23995.41,3.6,631.51,37524.81,1.1,Denied
Jeffie,Verralls,AL,52007.81,25,596,72,274815.8,4.0,8693.54,61377.29,1.18,Denied
Lucine,Skirrow,NC,59858.86,23,516,21,141489.62,3.1,882.63,28719.79,0.48,Denied
Melloney,Sictornes,NY,56871.88,5,692,79,180247.49,2.8,8955.78,57698.79,1.01,Denied
